# UEB Appendix 2「Word List」— Section 10（縮約）の用例語と、その点字・適用規則。
# 出典: The Rules of Unified English Braille, Third Edition 2024 (ICEB)
#   https://iceb.org/wp-content/uploads/2025/10/Rules-of-Unified-English-Braille-2024.pdf
#   ICEB により Creative Commons ライセンスで公開されている。
# 用途: 英語点訳エンジンの回帰コーパス（tests/ueb_appendix2.rs）。
# 列: 原文 <TAB> 期待する点字 <TAB> 規則番号
Congo	⠠⠒⠛⠕	10.10.2
congratulate	⠒⠛⠗⠁⠞⠥⠇⠁⠞⠑	10.10.2
congress	⠒⠛⠗⠑⠎⠎	10.6.1
congruent	⠒⠛⠗⠥⠢⠞	10.11.3
congruity	⠒⠛⠗⠥⠰⠽	10.10.2
congruous	⠒⠛⠗⠥⠳⠎	10.8.1
Conn.	⠠⠒⠝⠲	10.6.4
cont	⠒⠞	10.6.4
contact	⠒⠞⠁⠉⠞	10.6.2
contradistinction	⠒⠞⠗⠁⠙⠊⠌⠔⠉⠰⠝	10.11.6
control	⠒⠞⠗⠕⠇	10.6.1
cough	⠉⠳⠣	10.4.1
could've	⠉⠙⠄⠧⠑	10.9.2
country	⠉⠨⠞⠗⠽	10.8.1
county	⠉⠨⠞⠽	10.8.1
coupon	⠉⠳⠏⠕⠝	10.4.1, 10.7.2
cowherd	⠉⠪⠓⠻⠙	10.11.1
coworker	⠉⠕⠐⠺⠻	10.7.1
create	⠉⠗⠂⠞⠑	10.6.5
creation	⠉⠗⠂⠰⠝	10.6.5, 10.8.1
cringed	⠉⠗⠬⠫	10.4.1, 10.6.8
crooner	⠉⠗⠕⠕⠝⠻	10.7.6
Cunnyngham	⠠⠉⠥⠝⠝⠽⠝⠛⠓⠁⠍	10.11.2
cushioned	⠉⠥⠩⠊⠕⠝⠫	10.7.6
dacoity	⠙⠁⠉⠕⠊⠞⠽	10.8.3
Daedalus	⠠⠙⠁⠫⠁⠇⠥⠎	10.11.9
dancer	⠙⠨⠑⠗	10.8.1, 10.10.2
Dayan	⠠⠙⠁⠽⠁⠝	10.7.1
day-by-day	⠐⠙⠤⠃⠽⠤⠐⠙	10.7.1
daytime	⠐⠙⠐⠞	10.7.8
Dayton	⠠⠐⠙⠞⠕⠝	10.7.1
deactivate	⠙⠑⠁⠉⠞⠊⠧⠁⠞⠑	10.6.7
DeafBlind	⠠⠙⠂⠋⠠⠃⠇	10.9.4
deafen	⠙⠂⠋⠢	10.6.8
deduce	⠙⠫⠥⠉⠑	10.11.5
deity	⠙⠑⠰⠽	10.8.1
delineate	⠙⠑⠇⠔⠂⠞⠑	10.11.7
demonetise	⠙⠑⠍⠐⠕⠞⠊⠎⠑	10.7.6
denominate	⠙⠢⠕⠍⠔⠁⠞⠑	10.11.5
denote	⠙⠢⠕⠞⠑	10.6.8, 10.11.5
denouement	⠙⠢⠳⠑⠰⠞	10.11.5
denounce	⠙⠢⠳⠝⠉⠑	10.11.5
deny	⠙⠢⠽	10.6.8
derail	⠙⠻⠁⠊⠇	10.11.5
derailed	⠙⠻⠁⠊⠇⠫	10.4.1
deregister	⠙⠻⠑⠛⠊⠌⠻	10.11.5
derivable	⠙⠻⠊⠧⠁⠃⠇⠑	10.11.5
derogatory	⠙⠻⠕⠛⠁⠞⠕⠗⠽	10.11.5
deshabille	⠙⠑⠎⠓⠁⠃⠊⠇⠇⠑	10.4.1
diaeresis	⠙⠊⠁⠻⠑⠎⠊⠎	10.11.9
dingy	⠙⠬⠽	10.4.1
dis'armony	⠙⠊⠎⠄⠜⠍⠕⠝⠽	10.6.2
disaster	⠲⠁⠌⠻	10.6.1
disc	⠙⠊⠎⠉	10.6.1
disco	⠲⠉⠕	10.6.1
disease	⠲⠂⠎⠑	10.6.5, 10.11.6
dish	⠙⠊⠩	10.6.1, 10.10.4
disharmony	⠲⠓⠜⠍⠕⠝⠽	10.11.3
dishevel	⠙⠊⠩⠑⠧⠑⠇	10.6.1
dishevelled	⠙⠊⠩⠑⠧⠑⠇⠇⠫	10.10.4, 10.10.8
dishonest	⠲⠓⠐⠕⠌	10.6.1, 10.11.3
dishonesty	⠲⠓⠐⠕⠌⠽	10.7.6, 10.10.4
disingenuous	⠲⠔⠛⠢⠥⠳⠎	10.6.8, 10.11.6
dislikes	⠲⠇⠊⠅⠑⠎	10.1.1, 10.6.1
dispirited	⠙⠊⠸⠎⠫	10.6.1, 10.7.1, 10.10.2
display	⠲⠏⠇⠁⠽	10.6.2
dissect	⠲⠎⠑⠉⠞	10.6.1
dist.	⠲⠞⠲	10.6.4
distance	⠲⠞⠨⠑	10.6.1, 10.10.4
distinct	⠲⠞⠔⠉⠞	10.10.2
district	⠲⠞⠗⠊⠉⠞	10.6.2
disturbed	⠲⠞⠥⠗⠃⠫	10.10.2
disulphide	⠙⠊⠎⠥⠇⠏⠓⠊⠙⠑	10.6.1, 10.11.5
do re mi	⠙ ⠗⠑ ⠍⠊	10.1.1
Dobrljin	⠰⠰⠠⠙⠕⠃⠗⠇⠚⠊⠝	10.9.9
doggone	⠙⠕⠶⠐⠕	10.6.5
do-it-yourself	⠙⠤⠭⠤⠽⠗⠋	10.1.1
done	⠙⠐⠕	10.7.6
Donegal	⠠⠙⠕⠝⠑⠛⠁⠇	10.7.6
double-entendre	⠙⠳⠃⠇⠑⠤⠢⠞⠢⠙⠗⠑	10.6.8
dough	⠙⠳⠣	10.4.1
drought	⠙⠗⠐⠳	10.7.1
Du Plessis	⠠⠙⠥ ⠠⠏⠨⠎⠊⠎	10.8.1
dukedom	⠙⠥⠅⠫⠕⠍	10.11.7
dumbbell	⠙⠥⠍⠃⠃⠑⠇⠇	10.6.5, 10.11.1
Dupont	⠠⠙⠥⠏⠕⠝⠞	10.7.2
Dworkin	⠠⠙⠺⠕⠗⠅⠔	10.7.1
d'you	⠙⠄⠽⠳	10.1.1
'ead	⠄⠑⠁⠙	10.6.5
east	⠑⠁⠌	10.6.5
ebb	⠑⠃⠃	10.6.5
ebbing	⠑⠆⠬	10.11.8
ebb-tide	⠑⠃⠃⠤⠞⠊⠙⠑	10.6.5
ed.	⠫⠲	10.4.1
edacious	⠫⠁⠉⠊⠳⠎	10.11.5
edict	⠫⠊⠉⠞	10.11.5
Edith	⠠⠫⠊⠹	10.4.1
edition	⠫⠊⠰⠝	10.11.5
educe	⠫⠥⠉⠑	10.11.5
e'en	⠑⠄⠢	10.6.8
e'er	⠑⠄⠻	10.4.1
effaceable	⠑⠖⠁⠉⠂⠃⠇⠑	10.11.5, 10.11.7
effect	⠑⠖⠑⠉⠞	10.11.5
effort	⠑⠋⠿⠞	10.10.3
effulgent	⠑⠖⠥⠇⠛⠢⠞	10.10.7
egghead	⠑⠶⠓⠂⠙	10.10.5, 10.11.1
eggnog	⠑⠶⠝⠕⠛	10.6.5
eggplant	⠑⠶⠏⠇⠁⠝⠞	10.11.8
Einstein	⠠⠑⠔⠌⠑⠔	10.6.8
electroencephalogram	⠑⠇⠑⠉⠞⠗⠕⠢⠉⠑⠏⠓⠁⠇⠕⠛⠗⠁⠍	10.8.1, 10.11.6
